page_no,hampton_page_no,duplicate_content,line_no,char_no,revelation,char
64,1,N,1,1,1,Ki
64,1,N,1,2,1,P
64,1,N,1,3,1,vv
64,1,N,1,4,1,Ki
64,1,N,1,5,1,dc
64,1,N,1,6,1,GG
64,1,N,1,7,1,M
64,1,N,1,8,1,g
64,1,N,1,9,1,*
64,1,N,1,10,1,qL4
64,1,N,1,11,1,14
64,1,N,1,12,1,GG
64,1,N,1,13,1,vv
64,1,N,2,1,1,g
64,1,N,2,2,1,2
64,1,N,2,3,1,o3
64,1,N,2,4,1,Ki
64,1,N,2,5,1,qL3
64,1,N,2,6,1,M
64,1,N,2,7,1,g
64,1,N,2,8,1,*
64,1,N,2,9,1,J1
64,1,N,2,10,1,N
64,1,N,2,11,1,S
64,1,N,2,12,1,q3
64,1,N,3,1,1,44
64,1,N,3,2,1,vv
64,1,N,3,3,1,g
64,1,N,3,4,1,vv
64,1,N,3,5,1,qL3
64,1,N,3,6,1,M
64,1,N,3,7,1,M
64,1,N,3,8,1,Y3
64,1,N,3,9,1,Y3
64,1,N,3,10,1,vv
64,1,N,3,11,1,JJ
64,1,N,4,1,1,g7
64,1,N,4,2,1,Y3
64,1,N,4,3,1,76
64,1,N,4,4,1,#g
64,1,N,4,5,1,M
64,1,N,4,6,1,T
64,1,N,4,7,1,qL0
64,1,N,4,8,1,M
64,1,N,4,9,1,96
64,1,N,4,10,1,*
64,1,N,4,11,1,14
64,1,N,4,12,1,LL
64,1,N,5,1,1,g7
64,1,N,5,2,1,*
64,1,N,5,3,1,vv
64,1,N,5,4,1,g
64,1,N,5,5,1,GG
64,1,N,5,6,1,M
64,1,N,5,7,1,*
64,1,N,5,8,1,Y4
64,1,N,5,9,1,GG
64,1,N,5,10,1,vv
64,1,N,5,11,1,Y3
64,1,N,6,1,1,Ki
64,1,N,6,2,1,P
64,1,N,6,3,1,vv
64,1,N,6,4,1,g
64,1,N,6,5,1,GG
64,1,N,6,6,1,M
64,1,N,6,7,1,*
64,1,N,6,8,1,qL
64,1,N,6,9,1,vv
64,1,N,6,10,1,qL3
64,1,N,6,11,1,14
64,1,N,7,1,1,dc
64,1,N,7,2,1,GG
64,1,N,7,3,1,vv
64,1,N,7,4,1,*
64,1,N,7,5,1,*
64,1,N,7,6,1,*
64,1,N,7,7,1,uL
64,1,N,7,8,1,Y4
64,1,N,7,9,1,q3
64,1,N,7,10,1,LL
64,1,N,7,11,1,Y3
64,1,N,8,1,1,E
64,1,N,8,2,1,GG
64,1,N,8,3,1,vv
64,1,N,8,4,1,g
64,1,N,8,5,1,d2
64,1,N,8,6,1,vv
64,1,N,8,7,1,Ki
64,1,N,8,8,1,vv
64,1,N,8,9,1,Ki
64,1,N,8,10,1,Y3
64,1,N,8,11,1,q3
64,1,N,8,12,1,GG
64,1,N,9,1,1,g
64,1,N,9,2,1,GG
64,1,N,9,3,1,vv
64,1,N,9,4,1,E
64,1,N,9,5,1,2
64,1,N,9,6,1,o3
64,1,N,9,7,1,#J
64,1,N,9,8,1,96
64,1,N,9,9,1,LL
64,1,N,9,10,1,d3
64,1,N,9,11,1,vv
64,1,N,10,1,1,S
64,1,N,10,2,1,o3
64,1,N,10,3,1,vv
64,1,N,10,4,1,g
64,1,N,10,5,1,M
64,1,N,10,6,1,*
64,1,N,10,7,1,Ki
64,1,N,10,8,1,Ki
64,1,N,10,9,1,Ki
64,1,N,10,10,1,Ki
64,1,N,10,11,1,M
64,1,N,11,1,1,T
64,1,N,11,2,1,qL2
64,1,N,11,3,1,Ki
64,1,N,11,4,1,96
64,1,N,11,5,1,P
64,1,N,11,6,1,vv
64,1,N,11,7,1,Y4
64,1,N,11,8,1,T
64,1,N,11,9,1,4
64,1,N,11,10,1,96
64,1,N,11,11,1,14
64,1,N,11,12,1,*
64,1,N,11,13,1,vv
64,1,N,12,1,1,qL3
64,1,N,12,2,1,P2
64,1,N,12,3,1,vv
64,1,N,12,4,1,qL3
64,1,N,12,5,1,vv
64,1,N,12,6,1,g
64,1,N,12,7,1,vv
64,1,N,12,8,1,*
64,1,N,12,9,1,M
64,1,N,12,10,1,Y4
64,1,N,12,11,1,vv
64,1,N,12,12,1,JJ
64,1,N,12,13,1,vv
64,1,N,13,1,1,95
64,1,N,13,2,1,Ki
64,1,N,13,3,1,P
