psalm_no,line_no,line_id,char_no,char
1,1,1_1,1,b
1,1,1_1,2,l
1,1,1_1,3,e
1,1,1_1,4,s
1,1,1_1,5,s
1,1,1_1,6,e
1,1,1_1,7,d
1,1,1_1,8,_
1,1,1_1,9,i
1,1,1_1,10,s
1,1,1_1,11,_
1,1,1_1,12,t
1,1,1_1,13,h
1,1,1_1,14,e
1,1,1_1,15,_
1,1,1_1,16,m
1,1,1_1,17,a
1,1,1_1,18,n
1,1,1_1,19,_
1,1,1_1,20,t
1,1,1_1,21,h
1,1,1_1,22,a
1,1,1_1,23,t
1,1,1_1,24,_
1,1,1_1,25,w
1,1,1_1,26,a
1,1,1_1,27,l
1,1,1_1,28,k
1,1,1_1,29,e
1,1,1_1,30,t
1,1,1_1,31,h
1,1,1_1,32,_
1,1,1_1,33,n
1,1,1_1,34,o
1,1,1_1,35,t
1,1,1_1,36,_
1,1,1_1,37,i
1,1,1_1,38,n
1,1,1_1,39,_
1,1,1_1,40,t
1,1,1_1,41,h
1,1,1_1,42,e
1,1,1_1,43,_
1,1,1_1,44,c
1,1,1_1,45,o
1,1,1_1,46,u
1,1,1_1,47,n
1,1,1_1,48,s
1,1,1_1,49,e
1,1,1_1,50,l
1,1,1_1,51,_
1,1,1_1,52,o
1,1,1_1,53,f
1,1,1_1,54,_
1,1,1_1,55,t
1,1,1_1,56,h
1,1,1_1,57,e
1,1,1_1,1,u
1,1,1_1,2,n
1,1,1_1,3,g
1,1,1_1,4,o
1,1,1_1,5,d
1,1,1_1,6,l
1,1,1_1,7,y
1,1,1_1,8,_
1,1,1_1,9,n
1,1,1_1,10,o
1,1,1_1,11,r
1,1,1_1,12,_
1,1,1_1,13,s
1,1,1_1,14,t
1,1,1_1,15,a
1,1,1_1,16,n
1,1,1_1,17,d
1,1,1_1,18,e
1,1,1_1,19,t
1,1,1_1,20,h
1,1,1_1,21,_
1,1,1_1,22,i
1,1,1_1,23,n
1,1,1_1,24,_
1,1,1_1,25,t
1,1,1_1,26,h
1,1,1_1,27,e
1,1,1_1,28,_
1,1,1_1,29,w
1,1,1_1,30,a
1,1,1_1,31,y
1,1,1_1,32,_
1,1,1_1,33,o
1,1,1_1,34,f
1,1,1_1,35,_
1,1,1_1,36,s
1,1,1_1,37,i
1,1,1_1,38,n
1,1,1_1,39,n
1,1,1_1,40,e
1,1,1_1,41,r
1,1,1_1,42,s
1,1,1_1,43,_
1,1,1_1,44,n
1,1,1_1,45,o
1,1,1_1,46,r
1,1,1_1,47,_
1,1,1_1,48,s
1,1,1_1,49,i
1,1,1_1,50,t
1,1,1_1,51,t
1,1,1_1,52,e
1,1,1_1,53,t
1,1,1_1,54,h
1,1,1_1,55,_
1,1,1_1,56,i
1,1,1_1,57,n
1,1,1_1,1,t
1,1,1_1,2,h
1,1,1_1,3,e
1,1,1_1,4,_
1,1,1_1,5,s
1,1,1_1,6,e
1,1,1_1,7,a
1,1,1_1,8,t
1,1,1_1,9,_
1,1,1_1,10,o
1,1,1_1,11,f
1,1,1_1,12,_
1,1,1_1,13,t
1,1,1_1,14,h
1,1,1_1,15,e
1,1,1_1,16,_
1,1,1_1,17,s
1,1,1_1,18,c
1,1,1_1,19,o
1,1,1_1,20,r
1,1,1_1,21,n
1,1,1_1,22,f
1,1,1_1,23,u
1,1,1_1,24,l
1,2,1_2,1,b
1,2,1_2,2,u
1,2,1_2,3,t
1,2,1_2,4,_
1,2,1_2,5,h
1,2,1_2,6,i
1,2,1_2,7,s
1,2,1_2,8,_
