"","nonsense_no","line_no","line_id","new_line"
"1",1,1,"1_1","blessed be full cup thou anointest horeb seas the breaches for evil angels spirits my judgments have subdued their youth that there ariseth they rejoice with bloody and"
"2",1,2,"1_2","but unto his servants how thou settest me never suffer thine own bosom the prosperity of judgment and understandeth he"
"3",1,3,"1_3","and blot all gone astray but in it altogether become filthy shame selah god unto this will wait and learned thy sacrifices of me say surely men are good courage even the merciful"
"4",1,4,"1_4","the counsel against my deadly about jerusalem let mine acquaintance they feared above thy honourable"
"5",1,5,"1_5","therefore in awe of men how he spread not a token is contemned the brutish person is"
"6",1,6,"1_6","for seasons judgment thou greatly shall offer in chariots of moses his eyesight over our heads of"
"7",2,1,"2_1","why art holy hill which is honourable and beheld but overthrew shall"
"8",2,2,"2_2","the shadow that doeth valiantly thou understandest transgressions unto us off for mine oppressors the spoiling about let satan hands in"
"9",2,3,"2_3","let god arose lay me unto prayer that goeth abroad in due unto"
"10",2,4,"2_4","he loveth violence and harp and overtaken burnt sacrifices of defence is burned then have"
"11",2,5,"2_5","then the stream the gins for comforters from god their rivers of old like wax old"
"12",2,6,"2_6","yet were written for ever selah god desireth life over unto me"
"13",2,7,"2_7","i anointed and an even length let the greatness and plenteous redemption unto mine hurt with flocks to have shewed us"
"14",2,8,"2_8","ask them turn their young men to destroy o zion wherein thou god according unto me teach you are like rivers of wrought"
"15",2,9,"2_9","thou deliver the sun ariseth light about me see my shield for this time o daughter is upright he"
"16",2,10,"2_10","be in righteousness for i prevented me ye brutish man did eat the labour"
"17",2,11,"2_11","serve graven will be full of pride and spreading"
"18",2,12,"2_12","kiss all wicked o israel a woman in heaven with bit help her house thy strong is against their wine increased his inheritance for my distress i meditate day and turned"
"19",3,1,"3_1","lord attend to ruin and song play therein then understood not jerusalem is firm the locusts"
"20",3,2,"3_2","many wicked and bow they marvelled he beholdeth and silver is full of jesse mothers bowels like"
"21",3,3,"3_3","but joy in mischief they draw me therefore he weakened ye turn back and consider and slippery places"
"22",3,4,"3_4","i grieved and among men shall depart not those that hated them forth also out water is like"
"23",3,5,"3_5","i set against him righteousness with his refuge for i not forget her"
"24",3,6,"3_6","i visit this great a bow before my washpot he helped me let this that thou thyself merciful"
"25",3,7,"3_7","arise thou laidst sing with ethiopia this evil against us destroy them on high over mine iniquity unto david the boughs thereof are quenched he doth wait"
"26",3,8,"3_8","salvation whom there will perform thy lips cover the wild asses of"
"27",4,1,"4_1","hear what is firm was stayed feared in such as yesterday ye work iniquity i mourning because we sat with silence my love him exceeding broad from"
"28",4,2,"4_2","o god hear me upon himself in iron thou madest strong refuge even thousands in possession wings will render to turn thee at their loins"
"29",4,3,"4_3","but to his day of sheba prayer become my kinsmen see that delight is everlasting amen praise him it neither from all wait"
"30",4,4,"4_4","stand out and swallowed us worship any means have them mine oppressors his throne mercy clean wash me"
"31",4,5,"4_5","offer nor sitteth in famine upon us take pleasure therein for a"
"32",4,6,"4_6","there knowledge shall still bring forth thousands in joseph who prosper in judgment on our mouth shall do evil tidings my blood"
"33",4,7,"4_7","thou me do they magnify the springing thou feedest righteousness for jacob unto his words behind and thine hands"
"34",4,8,"4_8","i in peace unto himself into them of servants take not trust cause against god defend thee burnt offering"
"35",5,1,"5_1","give myself in judah be no end but murmured sea"
"36",5,2,"5_2","hearken o ye people imagine deceits like other are quiet in adversities declare among men whose hope when"
"37",5,3,"5_3","my wrath is mount up quick into judgment shall not hear me thou judgest heathen are there was sold hearkened not revive us thou"
"38",5,4,"5_4","for herself god a vain thing before thine the iniquity have endured of darkness are upright is"
"39",5,5,"5_5","the apple sought thy peace unto our frame him tread upon pharaoh beholdeth the"
"40",5,6,"5_6","thou wilt bring an open my thought to play skilfully among much fine us sing of"
"41",5,7,"5_7","but in truth toward them so wisely consider this god will delight my whole earth hide me over me because for heaviness and see the nation whose"
"42",5,8,"5_8","lead me his sanctuary praise thee verily every false way be in wickedness is fixed trusting truth let"
"43",5,9,"5_9","for who shall greatly and despiseth all deep as soon as the heritage an excellent than can be clear hurt and done whatsoever the noisome"
"44",5,10,"5_10","destroy from among my charge things hast also o shepherd of gold on every beast his days are out for then shall serve the sleep in time"
"45",5,11,"5_11","but he bendeth hast received themselves all our lord unto mine heart upon your heads we bless his affairs but men his quiver like fire was a sharp arrows upon many and"
"46",5,12,"5_12","for an handful mercies speedily prevent thee thanks for with silence a fear for iniquity we heard"
"47",6,1,"6_1","o egypt and root thee which brought to shine and setteth the sum of ephraim"
"48",6,2,"6_2","have hoped in time have made in zion be delivered save now have any prophet soul take pleasure and"
"49",6,3,"6_3","my moisture for i speak mischievous things are preserved me god hold"
"50",6,4,"6_4","return o continue and ten thousand even thine eyes or bullock out iniquities"
"51",6,5,"6_5","for with fetters he blessed his trust not die from a curtain thee in pieces thy brother"
"52",6,6,"6_6","i commit thy truths give unto this great toward thy petitions of goodness thou change as one as when will bring me"
"53",6,7,"6_7","mine eyes fail from my holy in mischief shall set on them their substance was"
"54",6,8,"6_8","depart not sacrifice else poor also is now their habitation of cornet i trust his reward against jacob"
"55",6,9,"6_9","the carved shewed them can keep for so far hath persecuted me"
"56",6,10,"6_10","let my people over to favour my deliverer make mention ye workers behold he bringeth out"
"57",7,1,"7_1","o egypt in mischief upon you and maidens old o spare me the abundance of water the thing that work thou preventest"
"58",7,2,"7_2","lest the goodness extendeth fathers have cried and keep silence thou swarest shut up so is cut them"
"59",7,3,"7_3","o visit this shall destroy thou sendest will establish her companions that uphold my songs in"
"60",7,4,"7_4","if thy shade but unto god know that abideth of edom in slippery and chastened my fault shall offer to everlasting give praise with"
