psalm_no,line_no,line_id,char_no,char
1,1,1_1,1,blessed
1,1,1_1,2,is
1,1,1_1,3,the
1,1,1_1,4,man
1,1,1_1,5,that
1,1,1_1,6,walketh
1,1,1_1,7,not
1,1,1_1,8,in
1,1,1_1,9,the
1,1,1_1,10,counsel
1,1,1_1,11,of
1,1,1_1,12,the
1,1,1_1,1,ungodly
1,1,1_1,2,nor
1,1,1_1,3,standeth
1,1,1_1,4,in
1,1,1_1,5,the
1,1,1_1,6,way
1,1,1_1,7,of
1,1,1_1,8,sinners
1,1,1_1,9,nor
1,1,1_1,10,sitteth
1,1,1_1,11,in
1,1,1_1,1,the
1,1,1_1,2,seat
1,1,1_1,3,of
1,1,1_1,4,the
1,1,1_1,5,scornful
1,2,1_2,1,but
1,2,1_2,2,his
1,2,1_2,3,delight
1,2,1_2,4,is
1,2,1_2,5,in
1,2,1_2,6,the
1,2,1_2,7,law
1,2,1_2,8,of
1,2,1_2,9,the
1,2,1_2,10,lord
1,2,1_2,11,and
1,2,1_2,12,in
1,2,1_2,13,his
1,2,1_2,14,law
1,2,1_2,15,doth
1,2,1_2,1,he
1,2,1_2,2,meditate
1,2,1_2,3,day
1,2,1_2,4,and
1,2,1_2,5,night
1,3,1_3,1,and
1,3,1_3,2,he
1,3,1_3,3,shall
1,3,1_3,4,be
1,3,1_3,5,like
1,3,1_3,6,a
1,3,1_3,7,tree
1,3,1_3,8,planted
1,3,1_3,9,by
1,3,1_3,10,the
1,3,1_3,11,rivers
1,3,1_3,12,of
1,3,1_3,13,water
1,3,1_3,1,that
1,3,1_3,2,bringeth
1,3,1_3,3,forth
1,3,1_3,4,his
1,3,1_3,5,fruit
1,3,1_3,6,in
1,3,1_3,7,his
1,3,1_3,8,season
1,3,1_3,9,his
1,3,1_3,10,leaf
1,3,1_3,11,also
1,3,1_3,1,shall
1,3,1_3,2,not
1,3,1_3,3,wither
1,3,1_3,4,and
1,3,1_3,5,whatsoever
1,3,1_3,6,he
1,3,1_3,7,doeth
1,3,1_3,8,shall
1,3,1_3,9,prosper
1,4,1_4,1,the
1,4,1_4,2,ungodly
1,4,1_4,3,are
1,4,1_4,4,not
1,4,1_4,5,so
1,4,1_4,6,but
1,4,1_4,7,are
1,4,1_4,8,like
1,4,1_4,9,the
1,4,1_4,10,chaff
1,4,1_4,11,which
1,4,1_4,12,the
1,4,1_4,13,wind
1,4,1_4,1,driveth
1,4,1_4,2,away
1,5,1_5,1,therefore
1,5,1_5,2,the
1,5,1_5,3,ungodly
1,5,1_5,4,shall
1,5,1_5,5,not
1,5,1_5,6,stand
1,5,1_5,7,in
1,5,1_5,8,the
1,5,1_5,9,judgment
1,5,1_5,10,nor
1,5,1_5,1,sinners
1,5,1_5,2,in
1,5,1_5,3,the
1,5,1_5,4,congregation
1,5,1_5,5,of
1,5,1_5,6,the
1,5,1_5,7,righteous
1,6,1_6,1,for
1,6,1_6,2,the
1,6,1_6,3,lord
1,6,1_6,4,knoweth
1,6,1_6,5,the
1,6,1_6,6,way
1,6,1_6,7,of
1,6,1_6,8,the
1,6,1_6,9,righteous
1,6,1_6,10,but
1,6,1_6,11,the
1,6,1_6,12,way
1,6,1_6,13,of
1,6,1_6,1,the
1,6,1_6,2,ungodly
1,6,1_6,3,shall
1,6,1_6,4,perish
2,1,2_1,1,why
2,1,2_1,2,do
2,1,2_1,3,the
2,1,2_1,4,heathen
2,1,2_1,5,rage
2,1,2_1,6,and
2,1,2_1,7,the
2,1,2_1,8,people
2,1,2_1,9,imagine
2,1,2_1,10,a
2,1,2_1,11,vain
2,1,2_1,12,thing
2,2,2_2,1,the
2,2,2_2,2,kings
2,2,2_2,3,of
2,2,2_2,4,the
2,2,2_2,5,earth
2,2,2_2,6,set
2,2,2_2,7,themselves
2,2,2_2,8,and
2,2,2_2,9,the
2,2,2_2,10,rulers
2,2,2_2,11,take
2,2,2_2,1,counsel
2,2,2_2,2,together
2,2,2_2,3,against
2,2,2_2,4,the
2,2,2_2,5,lord
2,2,2_2,6,and
2,2,2_2,7,against
2,2,2_2,8,his
2,2,2_2,9,anointed
2,2,2_2,1,saying
2,3,2_3,1,let
2,3,2_3,2,us
