key,count,rel_freq
2,529,0.0180565
ee,227,0.0077482
95,195,0.006656
dc,709,0.0242004
vv,6318,0.2156535
F,493,0.0168277
g,360,0.0122879
GG,1365,0.0465918
Ki,2138,0.0729768
d4,51,0.0017408
Y4,644,0.0219818
qL4,23,0.0007851
uL,45,0.001536
JJ,587,0.0200362
nn,337,0.0115029
PL,113,0.0038571
P2,665,0.0226986
q3,558,0.0190463
3,89,0.0030379
A,21,0.0007168
44,105,0.003584
14,1313,0.0448169
76,871,0.02973
96,453,0.0154623
EE,415,0.0141653
M,581,0.0198314
N,541,0.018466
g7,46,0.0015701
Gi,889,0.0303444
d3,510,0.0174079
Y3,3578,0.1221285
qL3,1113,0.0379902
4L,272,0.0092842
J1,186,0.0063487
LL,1014,0.0346111
P,754,0.0257364
P1,302,0.0103082
o3,299,0.0102058
S,329,0.0112298
T,67,0.0022869
A-,182,0.0062122
I,10,0.0003413
