"","item","n","entropy","avg_choices","note"
"1","Book of Nonsense (characters)",1,4.11225016230504,27,"Shanon's Entropy"
"2","Book of Nonsense (characters)",2,3.33281738093384,19.1441860465116,"Conditional Entropy"
"3","Book of Nonsense (characters)",3,2.57140934961949,11.6892578786852,"Conditional Entropy"
"4","Book of Nonsense (characters)",4,1.87301619162485,7.89924753249292,"Conditional Entropy"
"5","Book of Nonsense (characters)",5,1.41826585717532,5.43468715697036,"Conditional Entropy"
"6","Book of Nonsense (characters)",6,1.07204998300726,3.81809251856082,"Conditional Entropy"
"7","Book of Nonsense (characters)",7,0.820206240219592,2.92768689802782,"Conditional Entropy"
"8","Book of Nonsense (characters)",8,0.615964237877907,2.37362760726554,"Conditional Entropy"
"9","Book of Nonsense (characters)",9,0.445977737640919,1.85312275664034,"Conditional Entropy"
"10","Book of Nonsense (characters)",10,0.332123575406557,1.55504313052538,"Conditional Entropy"
"11","Book of Nonsense (characters)",11,0.255879868037625,1.39108988787106,"Conditional Entropy"
"12","Book of Nonsense (characters)",12,0.20091066917899,1.28467793317058,"Conditional Entropy"
"13","Book of Nonsense (characters)",13,0.155158212090992,1.20769042954211,"Conditional Entropy"
"14","Book of Nonsense (characters)",14,0.117227696572329,1.14904969086329,"Conditional Entropy"
"15","Book of Nonsense (characters)",15,0.0882757204899874,1.10667484525735,"Conditional Entropy"
"16","Book of Nonsense (characters)",16,0.0655519703851685,1.07572040851045,"Conditional Entropy"
"17","Book of Nonsense (characters)",17,0.0480129339749996,1.054516074625,"Conditional Entropy"
"18","Book of Nonsense (characters)",18,0.0336309603177988,1.03772990814532,"Conditional Entropy"
"19","Book of Nonsense (characters)",19,0.0236178880717576,1.02628213848456,"Conditional Entropy"
"20","Book of Nonsense (characters)",20,0.0162343355796336,1.0180612110863,"Conditional Entropy"
"21","Book of Nonsense (characters)",21,0.010931019958511,1.01174438306116,"Conditional Entropy"
"22","Book of Nonsense (characters)",22,0.00719352329240029,1.00763826940232,"Conditional Entropy"
