"","item","n","entropy","avg_choices","note"
"1","Book of Nonsense (characters)",1,4.11225016230504,27,"Shanon's Entropy"
"2","Book of Nonsense (characters)",2,3.3644391518807,21.1516393442623,"Conditional Entropy"
"3","Book of Nonsense (characters)",3,2.62883362313087,13.0010512483574,"Conditional Entropy"
"4","Book of Nonsense (characters)",4,1.93444913167739,7.82280477728536,"Conditional Entropy"
"5","Book of Nonsense (characters)",5,1.45868486496129,5.12082868943814,"Conditional Entropy"
"6","Book of Nonsense (characters)",6,1.09926947231263,3.62650465591642,"Conditional Entropy"
"7","Book of Nonsense (characters)",7,0.832839620725882,2.76783209584229,"Conditional Entropy"
"8","Book of Nonsense (characters)",8,0.618386850679929,2.24743858842022,"Conditional Entropy"
"9","Book of Nonsense (characters)",9,0.445485140543704,1.78031702359515,"Conditional Entropy"
"10","Book of Nonsense (characters)",10,0.330018640114091,1.51070423467867,"Conditional Entropy"
"11","Book of Nonsense (characters)",11,0.252185226306252,1.35984481086324,"Conditional Entropy"
"12","Book of Nonsense (characters)",12,0.195299491530636,1.26064012099516,"Conditional Entropy"
"13","Book of Nonsense (characters)",13,0.149085933229246,1.18931122827293,"Conditional Entropy"
"14","Book of Nonsense (characters)",14,0.111524928910672,1.13532702973442,"Conditional Entropy"
"15","Book of Nonsense (characters)",15,0.082897820140636,1.09635104100708,"Conditional Entropy"
"16","Book of Nonsense (characters)",16,0.0606788253458493,1.0678383501123,"Conditional Entropy"
"17","Book of Nonsense (characters)",17,0.0439564368106275,1.04856458137965,"Conditional Entropy"
"18","Book of Nonsense (characters)",18,0.0303291661560247,1.0332665079564,"Conditional Entropy"
"19","Book of Nonsense (characters)",19,0.02100832567053,1.02293199385877,"Conditional Entropy"
"20","Book of Nonsense (characters)",20,0.014195467595876,1.01551543821405,"Conditional Entropy"
"21","Book of Nonsense (characters)",21,0.00938841364288548,1.0099557619412,"Conditional Entropy"
"22","Book of Nonsense (characters)",22,0.00612542133327142,1.00641548844598,"Conditional Entropy"
"23","Book of Nonsense (characters)",23,0.00424094286775477,1.00443517284903,"Conditional Entropy"
"24","Book of Nonsense (characters)",24,0.00278559393991142,1.00289067974772,"Conditional Entropy"
"25","Book of Nonsense (characters)",25,0.00187160468204836,1.00187415980278,"Conditional Entropy"
